,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,halley,halley_steps
202,2/17/17,2/24/17,77.0,CMCSA,Call,0.05,0.1255,75.32,0.019164956,0.11712575825819412,1.0
203,2/17/17,3/24/17,35.5,CSCO,Call,0.07,0.12553,33.740002000000004,0.09582477800000001,0.12990546792265345,1.0
204,2/17/17,3/24/17,862.5,GOOGL,Call,7.16,0.12554,846.5499880000001,0.09582477800000001,0.12828495436461881,1.0
205,2/17/17,3/24/17,129.0,TLT,Call,0.1,0.12561,120.32,0.09582477800000001,0.13343349743218505,1.0
206,2/17/17,3/17/17,810.0,GOOG,Call,23.2,0.12565,828.070007,0.076659822,0.13049692464097803,1.0
207,2/17/17,3/10/17,740.0,ISRG,Call,3.14,0.12569,724.659973,0.057494867000000005,0.1240465524869052,1.0
208,2/17/17,3/10/17,127.0,TLT,Call,0.06,0.12587,120.32,0.057494867000000005,0.12753438831037023,1.0
209,2/17/17,3/24/17,727.5,ISRG,Call,10.5,0.12593,724.659973,0.09582477800000001,0.13056292375205428,1.0
210,2/17/17,3/3/17,845.0,GOOGL,Put,7.13,0.12596,846.5499880000001,0.038329911,0.1204617264799251,1.0
211,2/17/17,2/24/17,860.0,AMZN,Call,1.35,0.12597,845.070007,0.019164956,0.12971048217680728,1.0
212,2/17/17,3/24/17,127.0,TLT,Call,0.17,0.1261,120.32,0.09582477800000001,0.12298840085179141,1.0
213,2/17/17,3/24/17,38.5,INTC,Call,0.06,0.12619,36.48,0.09582477800000001,0.1274829428755476,1.0
214,2/17/17,3/10/17,126.0,TLT,Call,0.1,0.12653,120.32,0.057494867000000005,0.12470064218566454,1.0
215,2/17/17,3/10/17,125.5,TLT,Call,0.12,0.12654,120.32,0.057494867000000005,0.1212797589543417,1.0
216,2/17/17,2/24/17,73.5,CMCSA,Put,0.05,0.12664,75.32,0.019164956,0.12807953883657755,1.0
217,2/17/17,3/24/17,280.0,IBB,Call,15.04,0.12684,294.350006,0.09582477800000001,0.12852423157879153,1.0
218,2/17/17,3/17/17,130.0,JJSF,Call,1.65,0.12700999999999998,129.850006,0.076659822,0.11845877882566307,1.0
219,2/17/17,3/17/17,126.0,TLT,Call,0.19,0.12721,120.32,0.076659822,0.125846056676383,1.0
220,2/17/17,3/17/17,845.0,GOOG,Put,22.04,0.12736,828.070007,0.076659822,0.12931501420326452,1.0
221,2/17/17,2/24/17,74.0,CMCSA,Put,0.12,0.12747999999999998,75.32,0.019164956,0.1321285912561903,1.0
222,2/17/17,2/24/17,812.5,GOOG,Put,0.94,0.12759,828.070007,0.019164956,0.12380896160899635,1.0
223,2/17/17,3/3/17,35.5,INTC,Call,1.06,0.12759,36.48,0.038329911,0.13467748054574577,1.0
224,2/17/17,2/24/17,845.0,AMZN,Call,6.02,0.12780999999999998,845.070007,0.019164956,0.1273742691710301,1.0
