,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,brenth,brenth_steps
154,2017-02-17,2017-08-18,55.0,ALKS,Put,6.56,0.421,54.57,0.4982888432580425,0.41765744187389753,7.0
155,2017-02-17,2017-03-17,175.0,ALGT,Put,8.47,0.35248,171.399994,0.07665982203969883,0.34271176091849903,7.0
156,2017-02-17,2017-04-21,185.0,ALGT,Call,3.4,0.28983000000000003,171.399994,0.17248459958932238,0.2876209119946164,9.0
157,2017-02-17,2017-03-17,25.0,AMOT,Call,0.5,0.44712,23.24,0.07665982203969883,0.4409558456445921,9.0
158,2017-02-17,2017-09-15,5.0,ALLT,Put,0.67,0.4254600000000001,4.92,0.5749486652977412,0.4267889846224813,7.0
159,2017-02-17,2017-03-17,50.0,ALNY,Put,4.1,0.57655,48.279999,0.07665982203969883,0.586202610271935,8.0
160,2017-02-17,2017-10-20,45.0,ALNY,Call,11.44,0.6428699999999999,48.279999,0.6707734428473648,0.6403416982316837,7.0
161,2017-02-17,2018-01-19,50.0,ALNY,Call,11.4,0.6654399999999999,48.279999,0.919917864476386,0.6574496448231149,7.0
162,2017-02-17,2017-02-24,842.5,GOOG,Call,0.51,0.09636,828.070007,0.01916495550992471,0.09583804656657206,11.0
163,2017-02-17,2017-02-24,860.0,GOOG,Call,0.1,0.13591,828.070007,0.01916495550992471,0.1301823604144713,15.0
164,2017-02-17,2017-02-24,770.0,GOOG,Put,0.19,0.24997,828.070007,0.01916495550992471,0.25263736317747165,15.0
165,2017-02-17,2017-02-24,772.5,GOOG,Put,0.1,0.21872,828.070007,0.01916495550992471,0.22196618220828127,16.0
166,2017-02-17,2017-02-24,787.5,GOOG,Put,0.85,0.2487,828.070007,0.01916495550992471,0.24617654132111375,13.0
167,2017-02-17,2017-02-24,792.5,GOOG,Put,0.16,0.15367999999999998,828.070007,0.01916495550992471,0.16033032940841674,14.0
168,2017-02-17,2017-02-24,795.0,GOOG,Put,0.25,0.1634,828.070007,0.01916495550992471,0.16246815487037233,14.0
169,2017-02-17,2017-02-24,797.5,GOOG,Put,0.51,0.17761,828.070007,0.01916495550992471,0.17526723728913737,13.0
170,2017-02-17,2017-02-24,812.5,GOOG,Put,0.94,0.12759,828.070007,0.01916495550992471,0.12380896318098536,11.0
171,2017-02-17,2017-02-24,820.0,GOOG,Put,2.13,0.11406,828.070007,0.01916495550992471,0.11480132143745321,9.0
172,2017-02-17,2017-02-24,822.5,GOOG,Put,2.8,0.10825,828.070007,0.01916495550992471,0.11273284579947776,8.0
173,2017-02-17,2017-02-24,825.0,GOOG,Put,3.53,0.10511,828.070007,0.01916495550992471,0.10835250621054023,7.0
174,2017-02-17,2017-02-24,827.5,GOOG,Put,4.9,0.10994,828.070007,0.01916495550992471,0.11414747296108264,6.0
175,2017-02-17,2017-03-03,815.0,GOOG,Call,15.4,0.11137,828.070007,0.03832991101984942,0.10675864885016334,9.0
176,2017-02-17,2017-03-03,820.0,GOOG,Call,12.0,0.11345,828.070007,0.03832991101984942,0.1110372787376641,8.0
177,2017-02-17,2017-03-03,822.5,GOOG,Call,10.8,0.11345,828.070007,0.03832991101984942,0.11784187406622447,7.0
178,2017-02-17,2017-03-03,827.5,GOOG,Call,7.11,0.10742,828.070007,0.03832991101984942,0.10425012644846987,6.0
179,2017-02-17,2017-03-03,830.0,GOOG,Call,6.5,0.11531,828.070007,0.03832991101984942,0.11354752905997734,6.0
180,2017-02-17,2017-03-03,842.5,GOOG,Call,2.39,0.11673,828.070007,0.03832991101984942,0.11420042221162056,9.0
181,2017-02-17,2017-03-03,867.5,GOOG,Call,0.68,0.1597,828.070007,0.03832991101984942,0.1535750518360808,13.0
182,2017-02-17,2017-03-10,830.0,GOOG,Call,8.7,0.12356,828.070007,0.057494866529774126,0.12008804707443692,6.0
183,2017-02-17,2017-03-10,835.0,GOOG,Call,6.7,0.11668,828.070007,0.057494866529774126,0.12170869082604212,7.0
184,2017-02-17,2017-03-10,837.5,GOOG,Call,5.2,0.11701,828.070007,0.057494866529774126,0.1137894748039505,8.0
185,2017-02-17,2017-03-10,842.5,GOOG,Call,3.56,0.11668,828.070007,0.057494866529774126,0.11159778677395896,9.0
186,2017-02-17,2017-03-10,847.5,GOOG,Call,2.7,0.11668,828.070007,0.057494866529774126,0.11624159809859612,9.0
187,2017-02-17,2017-03-10,867.5,GOOG,Call,1.05,0.136,828.070007,0.057494866529774126,0.13850025826879084,12.0
188,2017-02-17,2017-03-10,890.0,GOOG,Call,0.35,0.15795,828.070007,0.057494866529774126,0.1570306556466911,14.0
189,2017-02-17,2017-03-17,810.0,GOOG,Call,23.2,0.12565,828.070007,0.07665982203969883,0.13049692460442983,9.0
190,2017-02-17,2017-03-17,880.0,GOOG,Call,0.55,0.1221,828.070007,0.07665982203969883,0.12819054259342352,13.0
191,2017-02-17,2017-03-17,905.0,GOOG,Call,0.15,0.14627,828.070007,0.07665982203969883,0.14275781991164022,16.0
192,2017-02-17,2017-03-24,815.0,GOOG,Call,18.93,0.10438,828.070007,0.09582477754962354,0.10750450506879003,8.0
193,2017-02-17,2017-03-24,825.0,GOOG,Call,14.78,0.13335,828.070007,0.09582477754962354,0.12714236509710763,6.0
194,2017-02-17,2017-03-24,830.0,GOOG,Call,12.5,0.13335,828.070007,0.09582477754962354,0.1294781531421674,6.0
195,2017-02-17,2017-03-24,840.0,GOOG,Call,7.6,0.11978,828.070007,0.09582477754962354,0.12168183891969832,8.0
196,2017-02-17,2017-03-24,850.0,GOOG,Call,4.7,0.11668,828.070007,0.09582477754962354,0.1221804889032233,9.0
197,2017-02-17,2017-03-24,860.0,GOOG,Call,3.15,0.13468,828.070007,0.09582477754962354,0.12871946295568606,10.0
198,2017-02-17,2017-03-03,757.5,GOOG,Put,0.61,0.24997,828.070007,0.03832991101984942,0.2572492586145988,14.0
