ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,IV,currentDate,YTM
18-Aug-17,45,ABAX,Put,3.4,,2.9,4.1,0,43,-0.29449,0.02437,-0.07565,-0.01352,0.12332,0.49554,2/17/17,182
17-Feb-17,105,ABMD,Call,4.32,,9.2,12.4,0,4,1,0,1.00E-05,-0.01608,0,0.03235,2/17/17,0
17-Feb-17,110,ABMD,Call,6,1.7,5.4,7.2,16,125,1,0,1.00E-05,-0.01684,0,0.08281,2/17/17,0
17-Feb-17,115,ABMD,Call,1.4,1.32,1.1,2.25,53,169,1,0,1.00E-05,-0.01761,0,0.01005,2/17/17,0
17-Mar-17,105,ABMD,Call,10.8,1.1,10.8,12.9,1,18,1,0,0.0801,-0.01602,0,0.1325,2/17/17,28
17-Mar-17,110,ABMD,Call,8.2,4.87,7.5,8.3,108,216,0.79972,0.03255,0.06534,-0.06571,0.07812,0.177,2/17/17,28
17-Mar-17,115,ABMD,Call,4,0.7,4.2,5,10,764,0.60036,0.0443,0.05013,-0.08169,0.12317,0.21863,2/17/17,28
17-Mar-17,120,ABMD,Call,1.75,0.73,1.85,2.55,81,495,0.38545,0.04345,0.03271,-0.07596,0.12922,0.25075,2/17/17,28
17-Mar-17,125,ABMD,Call,1.05,0.4,1.05,1.15,773,364,0.20836,0.0323,0.01789,-0.05589,0.09015,0.25022,2/17/17,28
17-Mar-17,105,ABMD,Put,1.07,0.07,0.45,0.8,10,681,-0.10606,0.01773,-0.00878,-0.03742,0.07548,0.36407,2/17/17,28
17-Mar-17,110,ABMD,Put,1.9,,1.1,1.6,17,188,-0.22905,0.03114,-0.01743,-0.06424,0.11304,0.31487,2/17/17,28
17-Mar-17,115,ABMD,Put,9.7,,2.45,4.9,0,56,-0.41985,0.0334,-0.03522,-0.09315,0.1237,0.41265,2/17/17,28
17-Mar-17,120,ABMD,Put,6.7,-5.7,5.2,5.9,5,20,-0.62171,0.04409,-0.04511,-0.06071,0.12834,0.30744,2/17/17,28
17-Mar-17,125,ABMD,Put,15.55,,8.7,10.9,0,17,-0.78081,0.03272,-0.04722,-0.04994,0.08798,0.40318,2/17/17,28
16-Jun-17,110,ABMD,Call,12.2,6.2,11.9,13.6,5,131,0.69793,0.01824,0.22485,-0.04301,0.23944,0.2866,2/17/17,119
16-Jun-17,115,ABMD,Call,8.3,,9.3,10.7,0,94,0.59828,0.01932,0.19518,-0.04957,0.25132,0.26934,2/17/17,119
16-Jun-17,120,ABMD,Call,7.2,0.5,6.8,8,5,503,0.50771,0.01966,0.16829,-0.04842,0.26211,0.24844,2/17/17,119
16-Jun-17,125,ABMD,Call,5.65,1.2,4.9,6.3,13,20,0.42957,0.01757,0.14223,-0.04917,0.27148,0.27439,2/17/17,119
16-Jun-17,105,ABMD,Put,6.83,,4.1,5.4,0,61,-0.26005,0.01323,-0.09419,-0.03522,0.23381,0.42929,2/17/17,119
16-Jun-17,110,ABMD,Put,6.46,-2.62,5.6,7.2,6,15,-0.33909,0.01436,-0.12903,-0.04063,0.24334,0.43115,2/17/17,119
16-Jun-17,115,ABMD,Put,12.13,,7.7,9.3,0,14,-0.41444,0.01897,-0.14204,-0.03671,0.25225,0.35643,2/17/17,119
